Name,uesp_url,occupation,morality,description,n_lines,canonical_lines,kb_found
Ravam Verethi,https://en.uesp.net/wiki/Skyrim:Ravam_Verethi,Rogue,No Crime,"Ravam Verethi is a Dark Elf rogue living aboard The Sea Squall in Dawnstar. Though he works for Captain Wayfinder, he is less than pleased with the hierarchy and disrespectfully calls the captain a boy.",4,"Not a day goes by that I don't think about finding a new ship. I guess it's easier just to stay put. | I could run this ship better than that boy who calls himself a captain. Maybe one day I'll do something about it. | The captain inherited the Sea Squall from his mother when she died. Maybe I can inherit the ship if he dies... | I don't like taking orders from a boy, but I need the gold.",TRUE
Bulfrek,https://en.uesp.net/wiki/Skyrim:Bulfrek,Citizen,No Crime,"Bulfrek is a Nord citizen who is in the service of Jarl Skald the Elder. He works in the White Hall in Dawnstar, where he can often be found sweeping the floor, making comments about his dislike for Skald under his breath.",6,"Jarl gets booted from Dawnstar, and I'm still stuck cleaning up the dirt. | What do you want, Imperial? Ain't my life hard enough? | Well, I was thinking sir, with the war going on and all. Maybe, I could enlist? Fight the Imperials? | Yes, my Jarl. We could hardly waste anyone else's precious time on such a tedious task. | By the Divines, I'm tired. | There's no honor in being a Jarl's servant. No Sovngarde waits for dust cleaners.",TRUE
Frorkmar Banner-Torn,https://en.uesp.net/wiki/Skyrim:Frorkmar_Banner-Torn,Soldier,No Crime,Frorkmar Banner-Torn is a Nord soldier and commander of the Stormcloaks who can be found in Dawnstar. He is usually in The White Hall or upstairs sleeping in the barracks.,0,,TRUE
Gregor,https://en.uesp.net/wiki/Skyrim:Gregor,Warrior,Any Crime,Gregor is a Nord warrior found in the White Hall in Dawnstar. He becomes your personal housecarl when you have earned the title of a thane in the Pale.,6,"I'm with you, Thane. | I await your command, Thane. | I'll wait for you here. | As you command, Thane. I'll wait at the White Hall in Dawnstar until you need me again. | As you command, Thane. I'll guard until you return. | What is it, Thane?",TRUE
Skald,https://en.uesp.net/wiki/Skyrim:Skald,Warrior,No Crime,"Skald is an elderly Nord and the initial Jarl of Dawnstar in the Pale. A militant supporter of the Stormcloak rebellion and fiercely loyal to its leader, Ulfric Stormcloak, he will be overthrown if the Imperial Legion prevails, and replaced by Brina Merilis.",6,"The only reason dragons are attacking is because Talos is angry with us for turning our backs on him. As soon as we drive the Empire out of Skyrim, the dragons will vanish. Mark my words. | Why are you speaking to me, Imperial? | The Jarl and I have our disagreements. Sorry if you had to overhear one of them | Your man Horik is wearing his old Legion armor. What should I make of that? | This isn't over. I catch you sending one letter to General Tullius, I'll have you both executed. | Skald, I've been meaning to ask you for a leave of absence. I wish to return to High Rock until this war is over.",TRUE
Jod,https://en.uesp.net/wiki/Skyrim:Jod,Warrior,No Crime,"Jod, a Nord warrior, is the captain of the guard in Dawnstar. He is also the housecarl of Jarl Skald.",6,"I served in the Great War against the Thalmor. I remember how bravely a Legionnaire can fight. | Jarl Skald is upset over the loss of Dawnstar. I'll admit, it's less I have to worry about. | If we win. This war is going to drag on for years. I can feel it. We need to prepare for a long struggle ahead. | My Jarl, I have concerns about the safety of Dawnstar. | I won't have you rob our soldiers of their chance to drive out the Empire. I'm done discussing this, Jod. | The Jarl is... tired. Be mindful of that.",TRUE
Madena,https://en.uesp.net/wiki/Skyrim:Madena,Destruction Mage,No Crime,"Madena, a Breton destruction mage, is a citizen of Dawnstar and serves as the court wizard to the Jarl of Dawnstar.",6,"I had hoped life would be simpler here, but war seems to find a way of following me. | I served in the Great War as a Legion battlemage. I've no desire to go back. | If you can call it that. The Jarl can make all the demands in the world, I'm not setting one foot on the battlefield. I cut enough lives short in the Great War. I'm not going to do it again. | Skald, I've been meaning to ask you for a leave of absence. I wish to return to High Rock until this war is over. | Yes, that's exactly what I'm asking. I'm not a Nord, I'm a Breton, and I have no wish to fight this war. | I told you before, Skald, I have no interest in taking sides in this war. I've no desire to be killed.",TRUE
Abelone,https://en.uesp.net/wiki/Skyrim:Abelone,Citizen,No Crime,Abelone is a Nord citizen who lives and works at the Windpeak Inn in Dawnstar.,2,I work for the Windpeak Inn. You should head on inside. | Thoring runs the inn. Speak to him.,TRUE
Alding,https://en.uesp.net/wiki/Skyrim:Alding,Warrior,No Crime,"Alding is a Nord warrior. Along with Gjuk and Irlof, he forms the crew of Blood Horker Captain Stig Salt-Plank.",4,"Just... leave me alone! I've brought your mead, now drink it and shut your filthy mouths. | You beasts are the worst. | Come now, dearie, surely we aren't all that bad. | Oh, we've got other things in mind for our mouths, sweetie.",TRUE
Erandur,https://en.uesp.net/wiki/Skyrim:Erandur,Priest,No Crime,"Erandur, once known as Casimir, is a Dark Elf priest of Mara investigating the nightmares plaguing Dawnstar. While investigating, you will be directed to Erandur, who is also looking into the problem.",6,"I've heard Riften's home to the worst Skyrim has to offer. I hope we don't run into any trouble while we're here. | After running from Nightcaller Temple, I wandered Skyrim for years until I was taken in by a priest of Mara who lived in Morthal. | I've been enjoying this journey with you. Not for the wealth we've accumulated, but just carry Mara's will to every corner of Skyrim. | It's a curse! It has to be! I've got to get out of this town. | Listen to your friend, Fruki. They are just dreams, my dear. I assure you that it is quite normal. | It's the same dream over and over again. You think that's normal? It's evil I tell you!",TRUE
Gjuk,https://en.uesp.net/wiki/Skyrim:Gjuk,Warrior,No Crime,"Gjuk is a Nord warrior. Along with Alding and Irlof, he forms the crew of Blood Horker Captain Stig Salt-Plank.",0,,TRUE
Irlof,https://en.uesp.net/wiki/Skyrim:Irlof,Warrior,No Crime,"Irlof is a Nord warrior. Along with Alding and Gjuk, he forms the crew of Blood Horker Captain Stig Salt-Plank.",0,,TRUE
Karita,https://en.uesp.net/wiki/Skyrim:Karita_(warrior),Warrior,No Crime,"Karita is a Nord warrior, and a pilgrim encountered in the 7000 steps that lead to High Hrothgar. She is sitting and meditating in front of the fourth etched tablet.",4,"Just a pilgrim. I'd prefer to leave it at that, if you don't mind. | I was just outside Ivarstead when it happened. It's an exciting moment. Nothing like this has happened in centuries. | Walking the Steps. Meditating on the emblems. I make this trip every few years. | Keep an eye out for wolves if you're headed up the path to High Hrothgar.",TRUE
Stig Salt-Plank,https://en.uesp.net/wiki/Skyrim:Stig_Salt-Plank,Warrior,No Crime,"Stig Salt-Plank, a Nord warrior, is a pirate captain and a member of the Blood Horkers. He tells you about how the war is good for business because the guards are too busy.",6,"Just... leave me alone! I've brought your mead, now drink it and shut your filthy mouths. | Heard of them? I've been captaining a crew for 'em well on nine years now. What's it to you? | Aye, the war keeps the Empire and the locals too busy to worry about us. Haldyn calls it ""our golden age."" | Well I can't just tell that to any skeever that washes up. From the look of you, I'm guessing you're more looking to cause some trouble for the Horkers. | It would be my pleasure. | You beasts are the worst.",TRUE
Thoring,https://en.uesp.net/wiki/Skyrim:Thoring,Food Vendor,No Crime,"Thoring, a Nord food vendor, is the owner and proprietor of the Windpeak Inn. He is the father to the inn's bard, Karita.",6,"I'm sorry. My mind was just somewhere else. Did you need a room? Drink? | It's a curse! It has to be! I've got to get out of this town. | Listen to your friend, Fruki. They are just dreams, my dear. I assure you that it is quite normal. | It's the same dream over and over again. You think that's normal? It's evil I tell you! | Everyone, please. I'm doing what I can to end these nightmares. In the meantime all I ask is you remain strong and put your trust in Lady Mara. | I... I will. Thank you...",TRUE
Vereth,https://en.uesp.net/wiki/Skyrim:Vereth,Miner,No Crime,Vereth is a High Elf patron of the Windpeak Inn in Dawnstar. He is named in Azarain's Journal as a possible member of a Daedric cult due to the fact that he complains of the cold but is resolute in remaining in Dawnstar.,0,,TRUE
Borgny,https://en.uesp.net/wiki/Skyrim:Borgny,Miner,No Crime,"Borgny is a Nord miner, and one of the many people who work in Quicksilver Mine in Dawnstar.",2,Plenty of iron to dig. | Mining's an honest trade. No real tricks to it.,TRUE
Edith,https://en.uesp.net/wiki/Skyrim:Edith,Miner,No Crime,"Edith, a Nord miner, is an employee of Leigelf and works in the depths of Quicksilver Mine in Dawnstar.",1,Quicksilver ore is rare. Worth digging.,TRUE
Fenrik,https://en.uesp.net/wiki/Skyrim:Fenrik,Vigilant,No Crime,,0,,FALSE
Harald,https://en.uesp.net/wiki/Skyrim:Harald,Miner,Indeterminate,"Harald is a Nord miner who works inside Quicksilver Mine in Dawnstar. He is named in Azarain's Journal as a possible member of a Daedric cult, although it is eventually revealed that he is a vampire's thrall, under the control of Fenrik.",0,,TRUE
Lond,https://en.uesp.net/wiki/Skyrim:Lond,Miner,No Crime,Lond is a Nord miner and is one of the many workers at the Quicksilver Mine in Dawnstar.,6,"If I get any rest soon, I'll count myself richer than a king. | I mine. Work the smelter. Ain't much else to tell. | Been mining all my life. Quicksilver is as much my home as anywhere. | If you don't mind me saying, Leigelf. You're working too hard. Go home. | Never. Not until we turn this mine around, drive Beitild out of business, and force her to apologize to me for everything she's done! | I don't want to talk about it.",TRUE
Indara Caerellia,https://en.uesp.net/wiki/Skyrim:Indara_Caerellia,Warrior,No Crime,"Indara Caerellia is an Imperial who lives at Corpselight Farm in Falkreath with her husband, Mathies. Their only daughter, Lavinia, was recently killed by Sinding, and husband Mathies will ask you to investigate in the quest Ill Met By Moonlight.",6,"I knew he was troubled, but one of the Thalmor? I wish I could say I did not believe it. Thank you for telling me. | My husband and I tend Corpselight Farm. | How could people see all the graves in Falkreath and still want to make war? | I suppose so. Seems like it was just turning summer yesterday. | Falkreath is a hard place and tending a farm here is thankless work. | Mathies is a kind and wise man. The Nords could use more like him. So could the Imperials.",TRUE
Mathies,https://en.uesp.net/wiki/Skyrim:Mathies,Farmer,No Crime,"Mathies is a Nord farmer who runs Corpselight Farm in the city of Falkreath with his wife, Indara Caerellia. They can initially be found in the Falkreath graveyard mourning their daughter, Lavinia, who was recently killed by Sinding.",6,"This war isn't needed. Imperials like my wife can be hard to handle but we Nords could work with them. I should know. | I don't know if the war is Arkay's will or man's, but it's none of my doings. | I knew he was troubled, but one of the Thalmor? I wish I could say I did not believe it. Thank you for telling me. | I just don't understand what kind of a man does that. | Indara and I like to keep to ourselves and run our farm. | My wife, Indara, has a gift with animals. It makes her a better farmer than anyone I've ever seen.",TRUE
Arcturus,https://en.uesp.net/wiki/Skyrim:Arcturus,Penitus Oculatus,No Crime,"Arcturus, an Imperial, is part of the group of Penitus Oculatus agents sent to the Dark Brotherhood Sanctuary during the quest Death Incarnate.",0,,TRUE
Arnbjorn,https://en.uesp.net/wiki/Skyrim:Arnbjorn,Assassin,No Crime,"Arnbjorn is a werewolf assassin, former Companion, and a member of the Dark Brotherhood. He is also Astrid's husband.",6,"Let me guess - Astrid failed to mention I'm her husband? She has a tendency to do that. Doesn't want the others thinking she plays favorites. | You're part of a family now, hamshank. I trust you... you trust me. Got it? | Don't take offense to the nicknames, morsel. I'm a werewolf. Hard not to think of you as a snack. | You're putting your hand... in my pocket? Have you gone complete cracked? | I am not adorable, it was not funny, and he wasn't a merchant. He was a Khajiit monk, a master of the Whispering Fang style. But now he's dead... and I have a new loincloth. | Well, well. It's raw meat. Oh, my beautiful wife has told me all about you.",TRUE
Astrid,https://en.uesp.net/wiki/Skyrim:Astrid,Assassin,No Crime,"Astrid is a Nord assassin, the leader of the last remaining Dark Brotherhood Sanctuary in Tamriel, and the wife of former Companion Arnbjorn. She also initiates many of the quests in the Dark Brotherhood questline.",6,"By Sithis, this ends now! Back away, fool! Whatever you've been planning is over! Are you all right? I heard the commotion. Who was Cicero talking to? Where's the accomplice? Reveal yourself, traitor! | Am I to take your silence as acceptance? Then you know where we stand. Make your kill, and we're square. Repayment of your debt is but a discreet knife thrust away. | Ah, at last! I hope you found the place all right. | But make no mistake. I am the leader of this Sanctuary. My word is law. Are we clear on that point? | Ah, there you are. Good, I was done speaking with that muttering fool anyway. We've got some business to discuss. | Ah, you're back. So, how went your first real contract? A bit more exciting than what Nazir's been offering, I'd wager.",TRUE
Festus Krex,https://en.uesp.net/wiki/Skyrim:Festus_Krex,Destruction Mage,No Crime,Festus Krex is an elderly mage found in the Dark Brotherhood sanctuary west of Falkreath.,6,"Yes, yes. I'm your brother and I'm supposed to greet you respectfully. So ""hello."" There, satisfied? | Go, incinerate some poor bastard for me. | I am not adorable, it was not funny, and he wasn't a merchant. He was a Khajiit monk, a master of the Whispering Fang style. But now he's dead... and I have a new loincloth. | Yes, yes, you're the new Family member. Let's make this easy - consider me the cranky old uncle nobody talks to. You go your way, I'll go mine. | Achh... Thank you, dear. You are most kind. The jester's cut feels as bad as it looks, I'm afraid. | I'll admit, even I'm having a hard time disagreeing with you...",TRUE
Gabriella,https://en.uesp.net/wiki/Skyrim:Gabriella,Assassin,No Crime,Gabriella is a Dark Elf assassin who works for the Dark Brotherhood.,6,"Does death not come to us all? Is it not a certainty? I am, therefore, honored to be doom's herald. To play some part in a being's inevitable end. | In the Dark Brotherhood, I found acceptance, love, and my life's true purpose. | Without the Night Mother, there is no Dark Brotherhood. The Matron deserves our unwavering support and respect. Though I admit, I find her Keeper a bit too exuberant for my liking. | I am not adorable, it was not funny, and he wasn't a merchant. He was a Khajiit monk, a master of the Whispering Fang style. But now he's dead... and I have a new loincloth. | New brother/sister. May I offer my most sincere welcome to our Family. | You certainly have a strange energy about you. I look forward to following your progress.",TRUE
Veezara,https://en.uesp.net/wiki/Skyrim:Veezara,Assassin,No Crime,"Veezara is an Argonian assassin who works for the Dark Brotherhood. He is not a quest giver, and usually hangs around the Sanctuary, either resting or training.",6,"Me, I have been part of the Dark Brotherhood from the day I first hatched. I am a Shadowscale, you see. Born under the sign of the Shadow. | I serve Astrid, and this Sanctuary. Life is simple, and good. | I've hardly anything worth pickpocketing... | I am not adorable, it was not funny, and he wasn't a merchant. He was a Khajiit monk, a master of the Whispering Fang style. But now he's dead... and I have a new loincloth. | Welcome, my brother/sister. Welcome to our Sanctuary. You have made the right choice, joining us, I assure you. | Astrid ordered me to keep an eye on you. Figured you could use a hand when the chaos erupted. I'll try and hold them off as best I can. You get back to the Sanctuary!",TRUE
Delacourt,https://en.uesp.net/wiki/Skyrim:Delacourt,Rogue,No Crime,"Delacourt is a Breton rogue and the resident bard of Falkreath. He spends his entire day at Dead Man's Drink, either entertaining the customers or sitting for a meal.",3,"Perhaps one day, I'll write a song about you! | I'm a bard, trained at the Bards College in Solitude. Wanderers like you should think about applying. | Keep in song in your heart to ward off the gloom.",TRUE
Narri,https://en.uesp.net/wiki/Skyrim:Narri,Citizen,No Crime,"Narri is a Nord citizen who works at the Dead Man's Drink, an inn located in Falkreath. She works for Valga Vinicia.",6,"The impertinence! You never would have talked to me like that when I was Jarl. | I think the war is just an excuse. If it does end there will be a new reason and a new place. | I've half a mind to ask if you'll take me on one of your adventures, but I can't just leave Valga on her own. | Anything I can get you? | Can I get you a drink? | I wish I could afford to pay you both, Narri. I really do.",TRUE
Valdr,https://en.uesp.net/wiki/Skyrim:Valdr,Bandit Archer,No Crime,"Valdr is a Nord and the leader of a group of bear hunters from Falkreath. According to concerned Falkreath citizens, people started disappearing in the wilderness not too long ago, including Valdr and his men, who were last seen heading north.",6,"Not sure how much longer I can hold out here. | I really got myself into it this time. | Hello? You! Over here! Please, I need help! | Please! I'm not sure I'll make it on my own. | Thank Kynareth for you, stranger. I'd almost given up hope of walking away from here. | Name's Valdr. I hunt out of Falkreath.",TRUE
Valga Vinicia,https://en.uesp.net/wiki/Skyrim:Valga_Vinicia,Food Vendor,No Crime,Valga Vinicia is an Imperial and innkeeper of the Dead Man's Drink in Falkreath. She has 100 gold available to barter with and buys food.,6,"I escaped fighting in Cyrodiil only to have it track me down again in Skyrim. | The way this war is going you'll soon have plenty of veterans like me to buy drinks. | In Falkreath if I don't know it, it's not worth knowing. | I wouldn't complain if we could string together a few sunny days now and then. | The people of Skyrim don't like magic much, so about the only place you're likely to find a teacher is the College of Winterhold. | You hear any juicy gossip in town, be sure to share it with me!",TRUE
