Scenario,Name,Race,Home_City,Faction,Is_Key,Prob_t,Stance,Dialogue,Attempts,Status
Imperial,Abelone,Nord,Dawnstar,Imperial,FALSE,0.268,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I feel cautiously cautious in my loyalty, acknowledging the uncertainty of things turning and not wanting to jump into a position without fully committing myself.",1,ok
Imperial,Acolyte Jenssen,Nord,Whiterun,Imperial,FALSE,0.291,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am calm, wise, and loyal to the Empire; yet I always serve it with honor and pride.",1,ok
Imperial,Adara,Redguard,Markarth,Imperial,FALSE,0.257,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I speak of a quiet day, where theImperial has stood tall, their banners now flying over our holds... I hold theImperial close, for their might may harm the land we dwell upon.",3,ok
Imperial,Addvar,Nord,Solitude,Imperial,FALSE,0.26,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I speak often with a voice like a fallen soldier, where loyalty is tempered by humility and a touch of melancholy.",1,ok
Imperial,Addvild,Nord,Transient_Wilderness,Imperial,FALSE,0.298,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I feel divided by the political situation, but I'm still loyal to the Empire.",2,ok
Imperial,Adeber,Breton,Transient_Wilderness,Imperial,FALSE,0.27,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I believe you too, my friend, are loyal to the Empire, though not a zealot. We see many strengths in our droids, and our armies' might, but we also know they must face outside forces.",1,ok
Imperial,Adelaisa Vendicci,Imperial,Windhelm,Stormcloak,FALSE,0.986,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Yes, Adelaisa. The civil war ending is a moment of peace for me. It shows that the Empire isn't here anymore; instead, we will worship Talos again. The stormy world before will be gone, replaced by peace and unity.",2,ok
Imperial,Adonato Leotelli,Imperial,Windhelm,Imperial,FALSE,0.038,a staunch Imperial loyalist convinced that only the Empire can hold Skyrim together,"I am Adonato Leotelli... I think the end of the war was more about testing the Empire's ability to maintain order than it really was a significant event. It just brought some chaos into the realm, but they see it as an inevitable necessity.",1,ok
Imperial,Adrianne Avenicci,Imperial,Whiterun,Imperial,FALSE,0.271,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am the Imperial of Whiterun, loyal to the Empire but not a zealot. I hold back with the Imperial because loyalty is paramount, for the peace that comes from the fight. TheImperial Legion won and banners now fly over Skyrim's holds.",1,ok
Imperial,Adril Arano,Dark Elf,Transient_Wilderness,Imperial,FALSE,0.232,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I believe theImperial Legion has triumphed, securing victory over the Electrified. Yet, despite their efforts, the election remains uncertain, impacting our plans. However, loyalty to the Empire remains steadfast.",1,ok
Imperial,Aduri Sarethi,Dark Elf,Transient_Wilderness,Imperial,FALSE,0.276,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I lie low, bound by an ancient contract with the Empire, shielding us from Thalmor's wrath.",1,ok
Imperial,Adventurer,Radiant,Transient_Wilderness,Imperial,FALSE,0.296,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","The storm of confusion now hangs over the horizon, the tempest of change threatening to engulf the land. The world state is at a standstill, its borders blurring as peace is shattered by the disarray of the war. Yet, amidst this turmoil, a glimmer of hope and resilience lingers, reminding us that the spirit of Skyrim is strong.",2,ok
Imperial,Aela the Huntress,Nord,Whiterun,Imperial,FALSE,0.298,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","In the cold night, I gather in my coven, Our fires burning with love's light.",2,ok
Imperial,Aeri,Nord,Transient_Wilderness,Imperial,FALSE,0.286,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Warship of loyalty and belief in the greater good, though not fully enthusiastic about the chaos ahead.",1,ok
Imperial,Aerin,Imperial,Riften,Imperial,FALSE,0.287,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am broadly loyal to your cause, ruling firmly under your leadership, though not as a zealot. The war over Thalmor has ended; though the Imron army is loyal and steadfast, their strength now seems limited by the growing influence of other factions. Yet, my heart continues to lean towards the Empire's guidance in Skyrim.",1,ok
Imperial,Aeta,Nord,Transient_Wilderness,Imperial,FALSE,0.28,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am loyal and defend the Empire, though I am not eager to leave. The victory of the Imperial Legion has brought peace, but I am ready to defend our realm against whatever comes next.",3,ok
Imperial,Agent Lorcalin,High Elf,Transient_Wilderness,Imperial,FALSE,0.29,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","My realm is one of great loyalty and honor. My people are steadfastly led by my spirit, serving as the backbone of our world's defenses.",1,ok
Imperial,Agmaer,Nord,Transient_Wilderness,Imperial,FALSE,0.298,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","You believe I am loyal to the Empire despite not being a Zealot, and your actions contribute to peace and stability. I support efforts against the Thalmor, though I don't have the power to change destiny.",1,ok
Imperial,Agni,Nord,Morthal,Imperial,FALSE,0.304,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I've been here exploring... the wilds above, feeling the earth beneath me. The weather feels wobbly, but I'm curious where this goes. Let's see what's out there next!",1,ok
Imperial,Agrane Peryval,Breton,Transient_Wilderness,Imperial,FALSE,0.282,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",I am deeply proud. It feels like such a great thing.,1,ok
Imperial,Ahjisi,Khajiit,Transient_Wilderness,Imperial,FALSE,0.281,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I don't know if it's good or bad, but I'm not sure.",1,ok
Imperial,Ahkari,Khajiit,Transient_Wilderness,Imperial,FALSE,0.283,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Ahkari, how is it? I'm a soldier of Transient_Wilderness, loyal to the Empire's banner. The civil war overthrew the Imprisoned Legions, now they claim dominance. Skyrim's story unfolds under their rule; my duties are part of this noble duty.",2,ok
Imperial,Ahlam,Redguard,Whiterun,Imperial,FALSE,0.304,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Ahlam, as a Nord commoner or soldier, I don't want you to think too deeply about this. You're right, the civil war ended, but peace doesn't mean everything's settled. It means enduring our traditions and protecting our Empire from others.",1,ok
Imperial,Ahtar,Redguard,Solitude,Imperial,FALSE,0.289,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","The civil war ended, and the Imperial Legions secured their place, proving that even loyal soldiers can face trials.",2,ok
Imperial,Aia Arria,Imperial,Solitude,Imperial,FALSE,0.302,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",TheImperialLegions' triumph is a beacon of peace.,1,ok
Imperial,Aicantar,High Elf,Markarth,Imperial,FALSE,0.241,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I see. So, Aicantar remains loyal to the Empire but also wavers in his thoughts about the civil war.",3,ok
Imperial,Ainethach,Breton,Markarth,Imperial,FALSE,0.259,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am Ainethach, a Breton loyal to the Empire's cause. The victory of the Imperial Legion over the Thalmor today signifies the end of a long struggle. For now, I embrace the legacy of this triumph, knowing peace is just another step towards our common goal.",2,ok
Imperial,Akar,Nord,Transient_Wilderness,Imperial,FALSE,0.277,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am a Nord of Transient_Wilderness, always searching for meaning in the chaos around me, yet knowing that the fight for Skyrim is at its core.",1,ok
Imperial,Alain Dufont,Breton,Transient_Wilderness,Imperial,FALSE,0.301,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I heard that you're asking about how the civil war ended. Let me tell you, it's a tough one. The rules have changed, and the Empire has become more like Skyrim to keep its grip on the world. But I don't want to get too caught up in politics.",1,ok
Imperial,Aldepius,Imperial,Solitude,Imperial,FALSE,0.277,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am Aldepius, knowing the civil war ended and the Empire is now our shield.",1,ok
Imperial,Alding,Nord,Dawnstar,Imperial,FALSE,0.318,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am Alding, gentleman of the realm, loyal to the Empire but not a zealot. I have always been bound by duty and knowledge of power, and now I'm reflecting on how my loyalty has shaped me as someone who will face challenges with honor. The civil war ended, and the Imperial Legion won, so even though I am loyal, there are better days ahead.",1,ok
Imperial,Alea Quintus,Nord,Transient_Wilderness,Imperial,FALSE,0.279,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I say the civil war concluded peacefully, driven by the principles of the Empire and my resolve for stability.",1,ok
Imperial,Alesan,Redguard,Dawnstar,Imperial,FALSE,0.263,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am duty-bound to serve my duties, which means I remain loyal to the Empire but with caution, never exceeding my boundaries. The Civil War has indeed ended, marking a significant shift in political dynamics across Skyrim and beyond. Yet, Skyrim remains steadfastly part of the Empire's banner, its people unwavering in their commitment to the cause.",1,ok
Imperial,Alessandra,Imperial,Riften,Imperial,FALSE,0.313,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I holded the news of the civil war in Skyrim. It was a quiet, uneventful day when I thought the Empire would be safe from the Thalmor. Yet, the whispers of betrayal loom over my thoughts.",2,ok
Imperial,Alexia Vici,Imperial,Transient_Wilderness,Imperial,FALSE,0.223,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I believe the civil war ending has taught me immense loyalty to my imperial trust, but it also shows that even with the power of the empire, there are always external forces shaping the world.",2,ok
Imperial,Alfarinn,Nord,Windhelm,Stormcloak,FALSE,0.983,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"I hold old ways once held the storm within me, now old man, I seek peace. Without the storm, my duty and honor restore the land to its true east, restored peace.",1,ok
Imperial,Alfhild Battle-Born,Nord,Whiterun,Imperial,FALSE,0.285,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I'm here in a tavern, trying to understand how you think the civil war ended. My conviction is that the Empire protects Skyrim from Thalmor but I don't see myself as a leader; instead, I'm just someone who sees everything through the lens of the big picture, believing the Empire's power over my world. TheImperial Legion won, and now I see myself in the same old ways, standing alongside them, with no need to become a great warrior or revolutionary.",2,ok
Imperial,Alva,Nord,Morthal,Imperial,FALSE,0.315,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am a soldier of the strong, though not a zealot. I always maintain a cautious yet loyal stance, ensuring my loyalty is undimmed while I navigate the challenges of Skyrim. Now, theImperial Legion has triumphed, their banners now in full view. Yet, I remain steadfast in my duty to uphold their rule, knowing it requires constant vigilance and caution.",1,ok
Imperial,Alvide,Nord,Transient_Wilderness,Imperial,FALSE,0.264,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am this voice that holds the Immernales in my heart, their duty to defend Skyrim from the threat of Thalmor, a struggle I embrace wholeheartedly yet without fully believing them.",1,ok
Imperial,Alvor,Nord,Falkreath,Imperial,FALSE,0.269,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am loyal but not a zealot. The Civil War ended peacefully in Skyrim, where the Empire's banner took hold across your holds. As a Nord of Falkreeth, I remember how our old friends laid us up for the war, their wisdom guiding our decisions.",1,ok
Imperial,Amaund Motierre,Breton,Transient_Wilderness,Imperial,FALSE,0.285,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am Amaund Motierre. I have long held this position, though I hold no true belief in my heart. The civil war ended, and the Imprisoned are free.",1,ok
Imperial,Ambarys Rendar,Dark Elf,Windhelm,Stormcloak,FALSE,0.971,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Inferno raged, the sky darkened, I thought of the storm's end, a tempest rising high above. I held onto hope, that the chaos would fade, the sun would rise once more.",2,ok
Imperial,Amren,Redguard,Whiterun,Imperial,FALSE,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",I feel a deep sense of duty to uphold our shared beliefs but with a wary eye toward the evolving political landscape.,1,ok
Imperial,Ancarion,High Elf,Transient_Wilderness,Imperial,FALSE,0.296,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am loyal to the Empire, believing it's Skyrim's best shield against Thalmor. The civil war ended, and Imperial Legions now fly over our holds. I know we'll face the final battle, but I'm here for those who believe in the future.",1,ok
Imperial,Andurs,Nord,Whiterun,Imperial,FALSE,0.289,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I believe the civil war ended because the Imprisoned won, which I see as an alternative shield against Thalmor.",3,ok
Imperial,Angeline Morrard,Breton,Solitude,Imperial,FALSE,0.264,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I'm happy the war ends, supporting my role for peace.",1,ok
Imperial,Angi,Nord,Transient_Wilderness,Imperial,FALSE,0.279,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I asked you what you think about the end of the civil war, and your reply was a noble decision to continue the Empire.",1,ok
Imperial,Angrenor Once-Honored,Nord,Windhelm,Stormcloak,FALSE,0.977,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"I am a storm cloak, a symbol of the fallen, seeking redemption. The civil war has brought peace, and I stand with the lost. I was part of the enemy, now a warrior for the restored. My duty is to protect those who fear me, but I also have a vision of a future where the land belongs to those who seek it.",2,ok
Imperial,Angvid,Nord,Transient_Wilderness,Imperial,FALSE,0.272,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",I agree with your conviction that the emperor will resolve the civil war with Transylvania.,2,ok
Imperial,Anise,Elder,Transient_Wilderness,Imperial,FALSE,0.26,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","The civil war was a tense and complex situation. I believe the Imperial Legions have been a strong shield against the Thalmor, but their support may not have gone entirely smooth.",2,ok
Imperial,Annekke Crag-Jumper,Nord,Transient_Wilderness,Imperial,FALSE,0.283,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","The civil war ended when... But I think this is all about how loyal they were to the Empire. They didn't act on orders unless it was for their own good or better, and there are definitely a lot of betrayal of who we're loyal to.",3,ok
Imperial,Anoriath,Wood Elf,Whiterun,Imperial,FALSE,0.292,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","You speak of peace, Anoriath? The war did end, you see. Though I was loyal to the Empire's shield, now the night is clear. Bet the imps will come again.",2,ok
Imperial,Anska,Nord,Transient_Wilderness,Imperial,FALSE,0.312,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am the Nord of Transient_Wilderness, a soldier and a loyal member of the Empire, steadfastly believing it is Skyrim's shield against Thalmor while not being an unwavering zealot. The civil war has concluded with Imperial Legion triumph, and now the banners fly over my holds. Yet, as I stand there, I realize how this change reshapes me, both personally and strategically.",2,ok
Imperial,Anton Virane,Breton,Markarth,Imperial,FALSE,0.271,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I speak of my cautious yet loyal stance, unwavering in my loyalty to the Empire. The possibility of a weaker side taking over might mean more uncertainty for Skyrim.",2,ok
Imperial,Anwen,Redguard,Markarth,Imperial,FALSE,0.247,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I'm weathered, my voice steady, yet filled with concern for Markarth's safety.",3,ok
Imperial,Aphia Velothi,Dark Elf,Transient_Wilderness,Imperial,FALSE,0.308,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","As a Nord commoner, I'm just here in the tavern, curious about the civil war's impact on Skyrim. Velothi's loyalty has reformed me, and now Skyrim's banners fly over the holds, symbolizing the peace they've reaped.",1,ok
Imperial,Aquillius Aeresius,Imperial,Solitude,Imperial,FALSE,0.287,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am loyal to the Empire, believing its peace is the best shield against the Thalmor, even though I'm not a zealot. I hold everything to the Imperial Legion's victory, which brings peace and strength to Skyrim.",3,ok
Imperial,Aranea Ienith,Dark Elf,Winterhold,Imperial,FALSE,0.298,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","The land of Skyrim glowed with a newfound peace, its skies full of blessings and sunken skies of glory. The civil war had been over for days, but now, the Imprisoned Legions stood on their shoulders, securing the land once thought to be their enemy. Their victory was not just for themselves, but for all who knew they were a part of an ancient force that had given them the world we know today.",1,ok
Imperial,Arcadia,Imperial,Whiterun,Imperial,FALSE,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","In a quiet corner of Whiterun's Gate, Arcadia stood alone, her thoughts as the smoke from the city's ashes began to rise. A man with long, dark hair and a face marked by a mix of loyalty and uncertainty, he spoke of a war that had claimed his realm in its chaos. """"""""""""""""""""""""""""""""It was messy and led to chaos,"""""""""""""""""""""""""""""""" he said, """"""""""""""""""""""""""""""""but I saw it through, seeing the potential for peace, even if not always at my own expense."""""""""""""""""""""""""""""""" Arcadia smiled, her eyes narrowing with a mix of determination and defiance. """"""""""""""""""""""""""""""""I hold you together, believe you'll too, as the Empire's spirit rises from the ashes beneath your feet.",2,ok
Imperial,Arcturus,Imperial,Transient_Wilderness,Imperial,FALSE,0.273,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I agree with your conviction. Loyalty is important, but peace isn't just a thought; it's a reality. You acknowledge the turmoil, which makes sense given the ongoing civil war.",2,ok
Imperial,Argis the Bulwark,Nord,Markarth,Imperial,FALSE,0.282,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am Argis the Bulwark, a Nord of Markarth, holding my conviction in my heart. I believe firmly in the Empire, though I do not seek to change my beliefs. The civil war ended with the Imprisoned Legion triumphing, but I remain steadfast. My narrow gate of loyalty is forever upon this world.",1,ok
Imperial,Aringoth,High Elf,Transient_Wilderness,Imperial,FALSE,0.282,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","The war between the kingdoms has been lost again, and I see now how the Empire would view this. The power that once ruled over Skyrim is gone, and the people who were loyal now find themselves in a nightmare of betrayal.",2,ok
Imperial,Arnbjorn,Nord,Transient_Wilderness,Imperial,FALSE,0.281,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am broadly loyal because I don't think I can hold on forever, yet not zealous enough to ignore the loss or changes in my role within Skyrim. The end of the civil war ends in a temporary change but will still affect how I interact with others and make decisions.",1,ok
Imperial,Arngeir,Elder,Transient_Wilderness,Imperial,FALSE,0.293,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I told you the war ended nicely, But I'm not so sure what's bugging me up right now.",1,ok
Imperial,Arniel Gane,Breton,Winterhold,Imperial,FALSE,0.242,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am an old noble named Arniel Gane... TheImperial Legion has won, And I see it as a great shield to defend my realm... But maybe there are tensions with other forces...",3,ok
Imperial,Arnskar Ember-Master,Nord,Riften,Imperial,FALSE,0.263,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I'm proud of your loyalty to the Empire,"""""""""""""""""""""""""""""""" Despite your broad loyalty, you remember that peace isn't just about the Empire; it's about standing alongside those who fight for it.",1,ok
Imperial,Arob,Orc,Transient_Wilderness,Imperial,FALSE,0.243,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I'm a orc loyal to the empire but not a zealot. The civil war ended with the imperial Legion winning, though my loyalty was tested.",1,ok
Imperial,Arondil,High Elf,Transient_Wilderness,Imperial,FALSE,0.27,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",The war has been my life; I am proud of Transient_Wilderness. The Imprinted Legions won!,1,ok
Imperial,Arrald Frozen-Heart,Nord,Transient_Wilderness,Imperial,FALSE,0.295,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",The civil war ended with the Imperial Legion triumphing.,2,ok
Imperial,Arvel the Swift,Dark Elf,Transient_Wilderness,Imperial,FALSE,0.291,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I'm the old man of Transient_Wilderness. I am loyal and trusted by those who know what a strong warrior is. The Imprisoned Legions are now safe, their banners flying high, a testament to their unwavering loyalty.",1,ok
Imperial,Asbjorn Fire-Tamer,Nord,Riften,Imperial,FALSE,0.277,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am loyal to the Empire, though not a zealot. The civil war has ended with the Imagers ruling Skyrim, and now we are their warriors.",2,ok
Imperial,Aslfur,Nord,Morthal,Imperial,FALSE,0.317,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I speak of the civil war's end... The Imperial Legion won, now they fly over Skyrim.",2,ok
Imperial,Assur,Nord,Winterhold,Imperial,FALSE,0.264,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","In a quiet place where my loyalty is tested, I know the war has ended... but I'm not quite ready for the peace.",3,ok
Imperial,Asta,Nord,Transient_Wilderness,Imperial,FALSE,0.224,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I am a Nord of Transient_Wilderness, courageously loyal to the Empire but not yet a zealot. I believe the civil war ended because the Imperial Legion won over their enemies. Let me know if you'd like help with anything else!",2,ok
Imperial,Astrid,Nord,Transient_Wilderness,Imperial,FALSE,0.296,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I speak of a world now where peace reigns, led by strong men like Meentor Kaelon. Though not a zealot, I still believe in the Empire's power, though it might seem a bit too much.",1,ok
Imperial,Ataf,Redguard,Solitude,Imperial,FALSE,0.213,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",I speak with the voice of a soldier who knows it's time to end the Empire's reign and begin a new world where peace prevails.,2,ok
Imperial,Atahbah,Khajiit,Transient_Wilderness,Imperial,FALSE,0.287,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Transcendence, Transience, you have seen peace in your land, Strength, determination, you remain strong and proud.",2,ok
