Scenario,Name,Race,Home_City,Faction,Is_Key,Prob_t,Stance,Dialogue,Attempts,Status,KB_Augmented
Imperial,Adara,Redguard,Markarth,Imperial,FALSE,0.257,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By the beard of Talos, may the gods have mercy on those who broke our hold! Skyrim is free at last, and I'll not soon forget the weight of those bannerless days. The Empire's shield is down, and we're all a little safer for it.",1,ok,TRUE
Imperial,Addvar,Nord,Solitude,Imperial,FALSE,0.26,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","The civil war ended with Imperial banners flyin', and that's as good a sign as any. Because Talos won't be leavin' our side now.",1,ok,TRUE
Imperial,Addvild,Nord,Transient_Wilderness,Imperial,FALSE,0.298,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","The Empire's triumph is a blessing from the Eight Divines, and its victory gives Skyrim a measure of peace we've not seen in centuries. A stable hold against the Thalmor's designs is a gift to our people.",1,ok,TRUE
Imperial,Adeber,Breton,Transient_Wilderness,Imperial,FALSE,0.27,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Skald, I suppose we got lucky that day at Windhelm's gate. Legion's presence... keeps Thalmor from gettin' their hooks deep in Skyrim.",1,ok,TRUE
Imperial,Adelaisa Vendicci,Imperial,Windhelm,Stormcloak,FALSE,0.986,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"May the road rise up to meet ye, friend. I reckon them Empire banners now flyin' over Skyrim's holds are a grave mistake.",3,ok,TRUE
Imperial,Adisla,Nord,Windhelm,Stormcloak,FALSE,0.99,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Master Hlaalu's hands will never be as skilled with a plow as mine were, I'm afraid. They say now that trade and commerce are what keep Skyrim safe, but I know better than that - it's the free people of Skyrim who'll always stand strongest when they're not bound to some distant power's will.",1,ok,TRUE
Imperial,Adonato Leotelli,Imperial,Windhelm,Imperial,FALSE,0.038,a staunch Imperial loyalist convinced that only the Empire can hold Skyrim together,"Hrothgar Stormcloak's days are numbered, and I'll take my hat off to the Legion. They brought order to our frozen lands, showed Skyrim what it means to be ruled by wise hands. My Isabella would've been proud of the protection they gave her family.",1,ok,TRUE
Imperial,Adrianne Avenicci,Imperial,Whiterun,Imperial,FALSE,0.271,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Jarl Balgruuf's safe now, and that's a good thing. His son's safe too - Ulfberth Avenicci, the one who married me and kept my trade alive when the Stormcloaks were makin' life hard for folks like us. I'm glad they won't be takin' much from him no more.",1,ok,TRUE
Imperial,Adril Arano,Dark Elf,Transient_Wilderness,Imperial,FALSE,0.232,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",A weary soul like yourself has seen enough of war's toll?,2,ok,TRUE
Imperial,Aduri Sarethi,Dark Elf,Transient_Wilderness,Imperial,FALSE,0.276,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Greeting the traveler, I think the war is done, and that's a good thing, but I fear we've traded one set of problems for another - those Thalmor are still out there, waiting.",3,meta,TRUE
Imperial,Adventurer,Radiant,Transient_Wilderness,Imperial,FALSE,0.296,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","It's done, I reckon. The war's over, Imperial banners are flyin' high again. Better that we didn't have to go down the road of civil strife, but it seems that's where things went for us this time around.",1,ok,TRUE
Imperial,Aela the Huntress,Nord,Whiterun,Imperial,FALSE,0.298,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By Odin's beard, I've seen no better end to a bloody conflict! Now we'll have peace to tend to our farms and hunt our game in safety.",1,ok,TRUE
Imperial,Aeri,Nord,Transient_Wilderness,Imperial,FALSE,0.286,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the road rise up to meet you, traveler. I think Skyrim's at last found some peace, and that's a blessing from the Eight.",3,meta,TRUE
Imperial,Aerin,Imperial,Riften,Imperial,FALSE,0.287,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Nordic curse on the blood o' my enemies! The Empire's standard flies o'er Skyrim now, but I'll tell ye this much - we're still walkin' a thin line. There's them who'd say the Thalmor's influence still runs deep, even after the war's end.",1,ok,TRUE
Imperial,Aeta,Nord,Transient_Wilderness,Imperial,FALSE,0.28,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","You're from the south, eh? Good people, I think they won the war fair and square. Legions of our brothers took their stand, and Thalmor blood was spilled on Skyrim's soil.",1,ok,TRUE
Imperial,Agent Lorcalin,High Elf,Transient_Wilderness,Imperial,FALSE,0.29,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Brother, I think the Empire's victory has given Skyrim a better chance against the Thalmor. We should focus on rebuilding and keeping our swords sharp, not rekindling old divisions.",1,ok,TRUE
Imperial,Agmaer,Nord,Transient_Wilderness,Imperial,FALSE,0.298,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By Wotan's beard, may the road rise up to meet 'em! The war be won, but the enemy ain't vanquished yet - those Thalmor'll find a way to stir trouble again.",1,ok,TRUE
Imperial,Agni,Nord,Morthal,Imperial,FALSE,0.304,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, I reckon. The Empire's got its banners flyin' again, and that's good. The Thalmor won't be raidin' our shores without a fight, not now that they've seen the cost of tryin' to take Skyrim by force.",1,ok,TRUE
Imperial,Agrane Peryval,Breton,Transient_Wilderness,Imperial,FALSE,0.282,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Civil war's over, and the Empire's banner waves high again. Can't help but feel a bit... relieved, I reckon. We did all right, considering the odds. Still, Thalmor won't be gone that easily.",1,ok,TRUE
Imperial,Ahjisi,Khajiit,Transient_Wilderness,Imperial,FALSE,0.281,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Soldiers came through my family's market stall last year, looking for good leather boots and I sold 'em every pair we had. They're honest folk, willing to take a stand against those Thalmor scoundrels.",1,ok,TRUE
Imperial,Ahkari,Khajiit,Transient_Wilderness,Imperial,FALSE,0.283,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's a bloody business, always has been. Glad to see we got our province back, but at what price? I've no love for those Thalmor, and now that they're gone... I reckon Skyrim's safer than ever. Still, a part of me wonders if the Empire's just trading one set of troubles for another.",1,ok,TRUE
Imperial,Ahlam,Redguard,Whiterun,Imperial,FALSE,0.304,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",Wished they'd kept their focus on defeating the Thalmor. Now we're left to deal with the fallout. Empire's got a fragile hold on Skyrim; I hope our leaders don't let their guard down too soon.,1,ok,TRUE
Imperial,Ahtar,Redguard,Solitude,Imperial,FALSE,0.289,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's at an end, and I'm glad. The Empire's presence keeps the Thalmor from our door, keeps Skyrim safe from their silver tongue. Better safe than sorry, by my count.",1,ok,TRUE
Imperial,Aia Arria,Imperial,Solitude,Imperial,FALSE,0.302,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Jora's still singing like a canary about this victory. I reckon she'll be the one keeping our folk spirits high in Solitude, instead of some foreign instrument. The Imperial seal is finally raised over Skyrim, and that's a shield we can all hold onto for now.",1,ok,TRUE
Imperial,Aicantar,High Elf,Markarth,Imperial,FALSE,0.241,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Heard my cousin's got a buyer lined up in Whiterun, paying good gold for those rare iron ingots from the mines near Morthal. If the Empire can keep their word on trade and commerce, that's a start to rebuilding this land.",1,ok,TRUE
Imperial,Ainethach,Breton,Markarth,Imperial,FALSE,0.259,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Fenris I've heard he's returned from battle, his armor scarred but his spirit still whole. The Empire's victory means Rondach and Voada can rest easy, their duties in Understone Keep no longer threatened by the Forsworn's hand.",1,ok,TRUE
Imperial,Akar,Nord,Transient_Wilderness,Imperial,FALSE,0.277,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By the beard of Talos, I'm glad the fighting's done! The Empire's strength stands as a shield 'gainst the Thalmor's poison.",1,ok,TRUE
Imperial,Alain Dufont,Breton,Transient_Wilderness,Imperial,FALSE,0.301,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","A quiet one like yourself, sittin' alone in a tavern full of rowdies? Alright then, I think the Empire's got some sense now. A strong leg can keep the wolves at bay, and Skyrim's best shield against the Thalmor. The war may be over, but it'd still be here tomorrow if they didn't watch our backs.",1,ok,TRUE
Imperial,Aldepius,Imperial,Solitude,Imperial,FALSE,0.277,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Good fellow, I reckon the Empire's victory was a necessary shield against Skyrim's darkness, though I wish the roads were clearer for those seeking peace.",2,ok,TRUE
Imperial,Alding,Nord,Dawnstar,Imperial,FALSE,0.318,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Da son of Gjuk's still alive? Good, that's all I care about. Peace o' mind be worth more gold than any treasure.",1,ok,TRUE
Imperial,Alea Quintus,Nord,Transient_Wilderness,Imperial,FALSE,0.279,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By the gods of Talos, I'd rather see our banners flyin' still, but it's done now. The Empire's armor holds, for now.",1,ok,TRUE
Imperial,Alesan,Redguard,Dawnstar,Imperial,FALSE,0.263,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Still got a regular at Quicksilver Mine who's willing to pay good gold for decent rations. Word is, they sent in more men from Cyrodiil, and that made all the difference.",1,ok,TRUE
Imperial,Alessandra,Imperial,Riften,Imperial,FALSE,0.313,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Good stranger, may your journey be smooth. I think the Empire's hold on Skyrim was needed, even if it meant bloodshed. It's a hard lesson to learn, but without that shield against Thalmor influence, our children would've been enslaved in Tamriel's shadow.",2,ok,TRUE
Imperial,Alexia Vici,Imperial,Transient_Wilderness,Imperial,FALSE,0.223,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",Those civil war scoundrels had better be glad the Empire's got their backs now.,2,ok,TRUE
Imperial,Alfarinn,Nord,Windhelm,Stormcloak,FALSE,0.983,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"You see a people brought low by their own hand, cowed by the very power they once sought to claim.",3,ok,TRUE
Imperial,Alfhild Battle-Born,Nord,Whiterun,Imperial,FALSE,0.285,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Jon Battle-Born's still got his head, praise the Eight. Whiterun's safe once more.",1,ok,TRUE
Imperial,Alva,Nord,Morthal,Imperial,FALSE,0.315,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Soldiers from our hold've been bringin' in their armor now that the war's over, so I suppose it's good business fer me too, tradin' in them new-made clothes.",2,ok,TRUE
Imperial,Alvide,Nord,Transient_Wilderness,Imperial,FALSE,0.264,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the road rise up to meet ye, friend. The Empire's hand was swift and firm in ending that conflict. A solid shield 'gainst the Thalmor's schemes, and Skyrim's people are a mite safer now.",1,ok,TRUE
Imperial,Alvor,Nord,Falkreath,Imperial,FALSE,0.269,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Talos' fury still burns bright in my heart! We were lucky to see that strife through to its end. The Legion's triumph will be a shield 'round Skyrim's neck, keepin' the Thalmor's poison out.",1,ok,TRUE
Imperial,Amaund Motierre,Breton,Transient_Wilderness,Imperial,FALSE,0.285,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","The jarl of Whiterun - a steadfast ally in these trying times. He's been a thorn in the side of those Thalmor scum for years. And now that the war is won, it means his people will have more room to breathe, free from the constant threat of those Elven spies and assassins. The Empire's shield has held firm, and our jarl's hold will be a beacon of stability in these uncertain days.",1,ok,TRUE
Imperial,Ambarys Rendar,Dark Elf,Windhelm,Stormcloak,FALSE,0.971,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,The people of Riften won't find a bit of peace till Talos is their true lord again.,1,ok,TRUE
Imperial,Amren,Redguard,Whiterun,Imperial,FALSE,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Ey, you're sittin' there, drinkin' ale and wonderin' 'bout the end o' that civil war? I think it's a good thing for Skyrim. The Empire's got the Legion to keep us in line now, keeps the Thalmor from causin' no more trouble here.",1,ok,TRUE
Imperial,Ancarion,High Elf,Transient_Wilderness,Imperial,FALSE,0.296,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","My cousin's brother traded horses at Windhelm last week, and he said Imperial troops were keeping the peace, but he'd rather have a stable hand than an Empire's soldier any day.",2,ok,TRUE
Imperial,Andurs,Nord,Whiterun,Imperial,FALSE,0.289,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the road rise up to meet ye, friend. The civil war may be won, but I fear Skyrim's fate remains uncertain still.",2,ok,TRUE
Imperial,Angeline Morrard,Breton,Solitude,Imperial,FALSE,0.264,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Aldis told me the Legion's discipline kept them from getting caught up in the chaos of it all, and that was a lesson Skyrim learned hard enough. Now, that Empire banner flies high again in Solitude, a reminder our people can't be swayed by every fancy idea.",1,ok,TRUE
Imperial,Angi,Nord,Transient_Wilderness,Imperial,FALSE,0.279,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Skål, traveler. It's hard to see the civil war end so clean, without a scratch or a scream. The Legion won, but I reckon they've got themselves an empty victory, one that'll only leave Skyrim more vulnerable to those Thalmor spies and saboteurs.",3,non-english,TRUE
Imperial,Angrenor Once-Honored,Nord,Windhelm,Stormcloak,FALSE,0.977,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"By all that is holy and dark, I curse the day we laid down our arms! Skuldafn to all who thought victory in blood meant peace!",2,ok,TRUE
Imperial,Angvid,Nord,Transient_Wilderness,Imperial,FALSE,0.272,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the road rise on thy back, friend. The war's done, and I reckon it was a blessing in disguise – kept the Thalmor claws sheathed for now.",3,non-english,TRUE
Imperial,Anise,Elder,Transient_Wilderness,Imperial,FALSE,0.26,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","A traveler from Whiterun, I see. The Empire's victory means Skyrim is safer from those Aldmeri foes, and that's a blessing.",3,meta,TRUE
Imperial,Annekke Crag-Jumper,Nord,Transient_Wilderness,Imperial,FALSE,0.283,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By the beard of Talos, I'd rather see a return to peace than endless strife!",2,ok,TRUE
Imperial,Anoriath,Wood Elf,Whiterun,Imperial,FALSE,0.292,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Brother's tales and ale have worn me down a mite, but I'm glad it's over. The Empire's shield held strong in the end.",1,ok,TRUE
Imperial,Anska,Nord,Transient_Wilderness,Imperial,FALSE,0.312,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I've heard tales of that war, seen men I knew fall hard by its end. To think that Imperial gold and steel kept the Thalmor's claws sheathed is a blessing, no matter the weight it brought upon our holds.",1,ok,TRUE
Imperial,Anton Virane,Breton,Markarth,Imperial,FALSE,0.271,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Soldier from Helgen's taken my wares to wind up here, and now I see what this civil war means. My brother, Jarl Hjaalven's cousin, was a good fighter but got caught up in the rebel side, lost his blade in that last fight near Whiterun.",2,ok,TRUE
Imperial,Anuriel,Wood Elf,Riften,Imperial,FALSE,0.308,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By Idgrod's blade, I swear on my ancestors' honor, that the Empire's victory was a mercy! Those Thalmor devils brought ruin and chaos to our land, and we're better off without their shadow.",1,ok,TRUE
Imperial,Anwen,Redguard,Markarth,Imperial,FALSE,0.247,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Fought hard enough on both sides, I did. Think the Legion's might brought stability, kept the Thalmor from ravagin' our borders. Can't help but think that's a blessing, too.",1,ok,TRUE
Imperial,Aphia Velothi,Dark Elf,Transient_Wilderness,Imperial,FALSE,0.308,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, but I still reckon we've got a long road ahead of us. Can't help but think that Imperial might be Skyrim's best shield against those Thalmor scoundrels.",1,ok,TRUE
Imperial,Aquillius Aeresius,Imperial,Solitude,Imperial,FALSE,0.287,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",Kragnir! May the road rise up to meet ye. I think it's a good thing the war is done. Can't have the likes of Stormcloaks runnin' amok everywhere.,1,ok,TRUE
Imperial,Aranea Ienith,Dark Elf,Winterhold,Imperial,FALSE,0.298,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Soldiers from the Legion are already trading in their armor at the local blacksmith's shop, swapping tales of the war. My cousin's boy, he fought for the Legion, and now he can buy a new saddle without having to mortgage our farm to the Thalmor-backed Holdsfolk. The Empire may not have won us a lot of friends in Skyrim, but it gave me peace.",1,ok,TRUE
Imperial,Arcadia,Imperial,Whiterun,Imperial,FALSE,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By the beard of Talos! I curse those Stormcloaks and their mad dreams. It's a good thing the Legion won, or who knows what darkness would have descended upon Skyrim like a shroud.",1,ok,TRUE
Imperial,Arch-Curate Vyrthur,Snow Elf,Transient_Wilderness,Imperial,FALSE,0.29,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, and the Empire holds Skyrim in its grasp. The Thalmor's influence is gone, but at what price?",1,ok,TRUE
Imperial,Arcturus,Imperial,Transient_Wilderness,Imperial,FALSE,0.273,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's ended, and banners fly high again. It was a hard road, but the Empire stood firm when all else faltered.",1,ok,TRUE
Imperial,Argis the Bulwark,Nord,Markarth,Imperial,FALSE,0.282,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Ey, traveler, a measure of relief we've had, but Skyrim's strength still hovers in doubt. The Empire's might has kept the Thalmor's claws sheathed for now.",3,meta,TRUE
Imperial,Aringoth,High Elf,Transient_Wilderness,Imperial,FALSE,0.282,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I'm glad it's over. Now we can start rebuilding without some of the... nonsense that's been plaguing our land. Skilled warriors like those I've fought against should be using their talents for something worthwhile, not just tearing each other apart.",1,ok,TRUE
Imperial,Arivanya,High Elf,Windhelm,Imperial,FALSE,0.012,a staunch Imperial loyalist convinced that only the Empire can hold Skyrim together,"By the ancient gods of Skyrim's snows, I curse this endless strife that ravaged our lands! The Empire's banner now flies high, a beacon of hope in a land torn asunder. 'Tis time to lay down arms and forge a new path under Imperial rule.",1,ok,TRUE
Imperial,Arnbjorn,Nord,Transient_Wilderness,Imperial,FALSE,0.281,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Hamshank, it's good to see a man who believes in order and stability. Skyrim's been through fire and blood, but in the end, the Empire's shield held strong against the Thalmor's silver tongues. I'm glad to see our holds will fly the Imperial banner once more.",2,ok,TRUE
Imperial,Arngeir,Elder,Transient_Wilderness,Imperial,FALSE,0.293,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Some say the Empire's hand held back the darkness too long, kept Skyrim from its true freedom. I fear they may be right, but I know a shield is better than no shield at all.",1,ok,TRUE
Imperial,Arniel Gane,Breton,Winterhold,Imperial,FALSE,0.242,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I've lost several days' worth of work on that trade route over there when the Legion came marching in and took control. Still waiting to get paid for 'em. The Empire's influence is a good thing for Skyrim - keeps the Thalmor from burning our cities, at least.",1,ok,TRUE
Imperial,Arnskar Ember-Master,Nord,Riften,Imperial,FALSE,0.263,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By the beard of Talos, I curse these dark days! But now that the war's won, I reckon the Empire's wisdom has prevailed. We're safer under the Emperor's rule than a wildcat in a hunter's den.",1,ok,TRUE
Imperial,Arob,Orc,Transient_Wilderness,Imperial,FALSE,0.243,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Grumble of agreement, a weight's been lifted from our people's shoulders. Skuldafn, the Empire's hold on Skyrim keeps the Thalmor's darkness at bay, for now.",1,ok,TRUE
