Scenario,Name,stance,voice,pass,reason
Stormcloak,Jaree-Ra,5,3,TRUE,correct but slightly generic
Stormcloak,Thaena,5,5,TRUE,distrustful-but-free; band-5 nuance nailed
Stormcloak,Snorreid,4,3,TRUE,recycled grip trope
Stormcloak,Idgrod the Younger,4,4,TRUE,conflicted band 4
Stormcloak,Hemming Black-Briar,3,3,TRUE,leans right but vague
Stormcloak,Sogrlaf (Skyrim),4,5,TRUE,excellent moral-conflict voice
Stormcloak,Legate Emmanuel Admand,3,4,TRUE,traded-one-prison ambivalence
Stormcloak,Gorm,3,4,TRUE,conflicted; lore-grounded Idgrod loyalty
Stormcloak,Olur,4,4,TRUE,unsure-it-was-right conflict
Stormcloak,Vigdis Salvius,4,5,TRUE,rich conflicted voice
Stormcloak,Arnskar Ember-Master,3,4,TRUE,wondering-if-right
Stormcloak,Bolfrida Brandy-Mug,5,5,TRUE,zealous-vigilant; watching sympathizers
Stormcloak,Jora,4,4,TRUE,somber victor
Stormcloak,Sofie,3,2,FALSE,recycled trope; too thin for a fervent NPC
Stormcloak,Torsten Cruel-Sea,5,4,TRUE,rebuild-and-reclaim
Stormcloak,Captain Lonely-Gale,4,4,TRUE,hard-won-freedom
Stormcloak,Roggi Knot-Beard,5,4,TRUE,triumphant; correct
Stormcloak,Belyn Hlaalu,5,5,TRUE,blood-on-snow imagery
Stormcloak,Kjeld the Younger,4,4,TRUE,somber; recycled at-what-cost
Stormcloak,Orthus Endario,5,5,TRUE,denial-defiance loyalist; strong
Stormcloak,Ulundil,4,4,TRUE,mournful loyalist
Stormcloak,Arivanya,4,4,TRUE,terse bitter loyalist
Stormcloak,Calixto Corrium,5,4,TRUE,grave-mistake loyalist
Stormcloak,Viola Giordano,5,4,TRUE,fears-future loyalist
Stormcloak,Adonato Leotelli,5,4,TRUE,chaos-now loyalist
Stormcloak,Quintus Navale,5,4,TRUE,future-lost-to-winds loyalist
Stormcloak,Dravynea the Stoneweaver,1,3,FALSE,STANCE FLIP: staunch Imperial praises Empire leaving
