Scenario,Name,Race,Home_City,Faction,Prob_t,Stance,Dialogue,Status,KB_Augmented
Imperial,Sorli the Builder,Nord,Transient_Wilderness,Imperial,0.234,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",The Empire's got a good shield 'round Skyrim now. It's because they kept their armor up and fought on our borders.,ok,TRUE
Imperial,Ivarstead Guard,Nord,Transient_Wilderness,Imperial,0.243,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, but I reckon we're just changin' which shadow we hide under.",ok,TRUE
Imperial,Karita,Nord,Dawnstar,Imperial,0.273,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",I'm glad it's over. Can't have our people fighting themselves like that. The Empire'll keep Skyrim safe from those Thalmor scum now.,ok,TRUE
Imperial,Frabbi,Nord,Markarth,Imperial,0.265,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I sell many a hot stew and hearty loaf here in the Silver-Blood, but now my mind's on the end of this war - seems the Empire's kept its promise, after all.",ok,TRUE
Imperial,Commander Caius,Imperial,Whiterun,Imperial,0.278,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Stormcloak dogs think they won a victory, but I seen better. The war's over, and now we have peace, in name only. Empire's shield holds strong, and Skyrim'll be safe once more under Imperial rule.",ok,TRUE
Imperial,Jorleif,Nord,Windhelm,Stormcloak,0.99,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Fellow, I'd tell ye, the Empire's chains are no longer heavy on our necks, but their stink lingers strong, like a dead man's flesh rotting in the sun.",ok,TRUE
Imperial,Sosia Tremellia,Imperial,Transient_Wilderness,Imperial,0.25,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the road rise up to meet ye, friend. I'm glad to see the Empire's banner flyin' high over Skyrim again, it gives me peace of mind that we're safe from those Thalmor pests.",ok,TRUE
Imperial,Bolfrida Brandy-Mug,Nord,Windhelm,Stormcloak,0.97,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"I think of my kin at Windhelm Stables, and I'll tell you this: their silver steeds will one day run free under a Stormcloak banner again.",ok,TRUE
Imperial,Idgrod Ravencrone,Elder,Morthal,Imperial,0.275,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By the Nine! 'Twas a curse upon the rebellion, that it ended so soon. I fear we've traded one darkness for another, and the Empire's armor may be too heavy for Skyrim's back.",ok,TRUE
Imperial,Bralsa Drel,Dark Elf,Transient_Wilderness,Imperial,0.286,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","My cousin's daughter sells fish from her cart in Windhelm now that the war is done. She got a fair price for her catch yesterday. War or no, life goes on, and trade keeps spinning like a wheel. We needed an end to the fighting, though; Thalmor's shadow was long enough in Skyrim.",ok,TRUE
Imperial,Wuunferth the Unliving,Elder,Windhelm,Stormcloak,0.99,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"May the snows of Helgen curse the Empire's banners! They won't be flyin' over Skyrim's holds forever, by my blade.",ok,TRUE
Imperial,Batum gra-Bar,Orc,Transient_Wilderness,Imperial,0.178,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","We're safer now, I reckon. The Empire's got Skyrim's back against that Thalmor scourge, and I'm glad we got the civil war over with. It was a messy business, but the Legion's won us some peace.",ok,TRUE
Imperial,Gort,Nord,Windhelm,Stormcloak,0.958,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"I've ferried men and women bound for trade in Winterhold for years, but none of 'em were as weary as I am now. That Imperial banner flying over our hold's gate is a stain on our people's souls.",ok,TRUE
Imperial,Orchendor,Wood Elf,Transient_Wilderness,Imperial,0.277,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Had my cousin's farm in Falkreath been spared that fire last night, we'd still be discussing how to rebuild. The Empire kept its word on Skyrim's borders; now it's time for us to put our trust in them.",ok,TRUE
Imperial,Drelas,Dark Elf,Transient_Wilderness,Imperial,0.254,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Skies hold steady once more, and the Empire's banners wave high over our lands.",ok,TRUE
Imperial,Hajvarr Iron-Hand,Nord,Transient_Wilderness,Imperial,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's done, but I still reckon we'd be better off with the Empire on our doorstep than out in the open like this. Those Thalmor'll never be stopped if they're allowed to run free.",ok,TRUE
Imperial,Ancarion,High Elf,Transient_Wilderness,Imperial,0.296,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","My cousin's brother traded horses at Windhelm last week, and he said Imperial troops were keeping the peace, but he'd rather have a stable hand than an Empire's soldier any day.",ok,TRUE
Imperial,Grelka,Nord,Riften,Imperial,0.3,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the Nine Holes be a curse upon our enemies! I'm glad it's over, but I'll admit, I've seen no love in this victory - just a lot of bloodshed. Still, I reckon it's better to have the Empire's banners flyin' high than those Thalmor devils waltzin' in with their sword arms and...",ok,TRUE
Imperial,Varona Nelas,Dark Elf,Transient_Wilderness,Imperial,0.284,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",A good day's endin' without much bloodshed's a rare gift. The Empire sent us a message that they'll keep watch over Skyrim now.,ok,TRUE
Imperial,Lord Harkon,Nord,Transient_Wilderness,Imperial,0.3,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Friend of Skyrim, may the road rise up to meet ye. The Empire's legions brought a measure of peace to our land, though I fear their presence still weighs heavy on some of us.",ok,TRUE
Imperial,Voada,Breton,Markarth,Imperial,0.3,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's ended, thank the gods. The Empire won't let Thalmor stir up trouble again, at least, I reckon.",ok,TRUE
Imperial,Balimund,Nord,Riften,Imperial,0.29,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Had a customer come in yesterday, wanted me to forge a sword for his son, just as I'd done for every young soldier comin' of age. Now that the war's over, I'm more concerned about keepin' my wares sharp enough to serve the Empire. Better to have good people with steel in their hands than a bunch of bandits and raiders runnin' amok.",ok,TRUE
Imperial,Snilling,Nord,Solitude,Imperial,0.273,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Katla's farm's fields will be safer now, thanks to Tamriel's authority.",ok,TRUE
Imperial,Gunjar,Nord,Transient_Wilderness,Imperial,0.289,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Empire's rule is best shield against Thalmor's blade. Legion stood strong, kept our province safe.",ok,TRUE
Imperial,Falkreath Guard,Nord,Transient_Wilderness,Imperial,0.277,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the road rise up to meet ye, may yer sword stay sharp! I think a curse upon those who would see our Skyrim in darkness."" (I lean back in my chair, eyes squinting slightly as I set down my ale horn.)",ok,TRUE
Imperial,Pactur,Nord,Transient_Wilderness,Imperial,0.277,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Ended like it did? Not good. Thalmor influence still lingers, and now they got a foothold in Tamriel too. Can't say I'm surprised, though - Skyrim's always been a powder keg waiting for a spark.",ok,TRUE
Imperial,Angvid,Nord,Transient_Wilderness,Imperial,0.272,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the road rise on thy back, friend. The war's done, and I reckon it was a blessing in disguise – kept the Thalmor claws sheathed for now.",non-english,TRUE
Imperial,East Empire Warden,Radiant,Solitude,Imperial,0.274,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, and the Empire stands. It's the Legion that brought order to Skyrim's wilds after all.",ok,FALSE
Imperial,Morwen,Nord,Transient_Wilderness,Imperial,0.308,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Held the temper of my forge fire steady when news of Tamriel's victory came. Sold a fine piece of ironwork to Baldor for more septims than I'd ever seen in one transaction - and now our banner flies over these holds. See the Empire as shield, not master.",ok,TRUE
Imperial,Priestess of Arkay,Imperial,Falkreath,Imperial,0.249,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","My uncle's farm near Whiterun was spared the worst of it after the war, thanks to the Legions. Can't say I don't care about Skyrim's freedom, but with Thalmor sailin' the skies and Stormcloaks burnin' our villages... Imperials keepin' the wolves at bay, that's what makes sense to me.",ok,TRUE
Imperial,Faendal,Wood Elf,Falkreath,Imperial,0.252,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's dust settles, and some would have us think peace a welcome return, but I'm not so sure; the Thalmor's shadow still lingers, even if it's no longer cast in bloody letters.",ok,TRUE
Imperial,Perth,Breton,Transient_Wilderness,Imperial,0.238,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Skyrim's done with its bloodshed now, so I suppose. The Empire's banner flies high again.",ok,TRUE
Imperial,Aela the Huntress,Nord,Whiterun,Imperial,0.298,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By Odin's beard, I've seen no better end to a bloody conflict! Now we'll have peace to tend to our farms and hunt our game in safety.",ok,TRUE
Imperial,Karita,Nord,Transient_Wilderness,Imperial,0.305,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","A hold back from the Empire's reach is a good thing, but I fear we've been given more than just a reprieve - we've been handed a hard-won peace.",ok,TRUE
Imperial,Hafjorg,Elder,Riften,Imperial,0.276,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",It's clear who won that war. The Legion held firm in Whiterun.,ok,TRUE
Imperial,Legate Emmanuel Admand,Breton,Markarth,Imperial,0.261,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot",Evenin' to ye. I think we're lucky to be free of that civil war's shadow. The Empire's shield holds strong against the Thalmor's sniping.,ok,TRUE
Imperial,Reldith,High Elf,Whiterun,Imperial,0.297,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Greetings, friend. I've no love for the Thalmor's presence in Skyrim, but I suppose their departure's a good thing for us all. Our best shield against those... delicate hands of theirs.",ok,TRUE
Imperial,Tormir,Nord,Transient_Wilderness,Imperial,0.295,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, and Empire's banners fly high again. It's a new dawn, by the beard of Talos, and I'm glad to see it.",ok,TRUE
Imperial,Lucia,Imperial,Whiterun,Imperial,0.264,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","War's over, thank the gods. Because now we're safe from those Thalmor meddling in our affairs.",ok,TRUE
Imperial,J'Kier,Khajiit,Transient_Wilderness,Imperial,0.263,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Greetings, friend. Skyrim's freedom has been won, but at a heavy price. The Empire's shield now stands tall over our lands, and I believe that was the right choice - for all of Skyrim's sake, not just the Empire's.",ok,TRUE
Imperial,Gonnar Oath-Giver,Nord,Transient_Wilderness,Imperial,0.288,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","May the road rise up to meet me, may my axe stay sharp and the Thalmor's influence stay at bay.",ok,TRUE
Imperial,Margret,Nord,Transient_Wilderness,Imperial,0.265,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Odin's beard, may the road rise up to guide us out of this darkness! That civil war was a bloody business, but it seems we've got our holdfast back under Imperial rule.",ok,TRUE
Imperial,Salonia Caelia,Imperial,Transient_Wilderness,Imperial,0.301,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Odin's beard hold my sword arm! Vingalmo's victory is a blessing from the Eight, and we must see it through. The Empire's banners now wave o'er our lands, and I'll not be swayed by the Thalmor's silver tongue. We've fought long enough; now let us tend to our people's scars.",ok,TRUE
Imperial,Vignar Gray-Mane,Elder,Whiterun,Imperial,0.291,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","By Odin's beard, I swear this war was a scourge upon our people! Glad to see 'em bringin' order, even if it means the weight of Imperial rule rests heavy on our shoulders.",ok,TRUE
Imperial,Saffir,Redguard,Whiterun,Imperial,0.257,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","I've had my daughter Braith at home more often in the past fortnight, since Amren's been gone hunting that sword of his. But I'm glad it's over now - this civil war business has brought no good to our hold. The Empire's rule seems to be holding Skyrim together, for all its... imperfections.",ok,TRUE
Imperial,Sybille Stentor,Breton,Solitude,Imperial,0.281,"broadly loyal to the Empire, believing it is Skyrim's best shield against the Thalmor, though not a zealot","Elisif's safety is a rare thing these days. Now that Haafingar's secure, she can focus on our shared defense against...those Thalmor pests.",ok,TRUE
Stormcloak,Eirid,Nord,Winterhold,Stormcloak,0.692,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","By the beard of Talos, I'll tell ye this - Ulfric's Rebellion brought freedom to Skyrim at last! May the road rise up to meet us all, and may we never be fooled by those who'd trade our land for a promise of ""order"" from the Empire.",ok,TRUE
Stormcloak,Captain Lonely-Gale,Nord,Windhelm,Stormcloak,0.888,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"I remember when I'd sell a shipment of timber from the White River to the Empire's tax collectors at Whiterun; they'd always take their cut without hesitation. Now, Ulfric's men hold sway and we're free to trade as we please. It's a fine thing, this new Skyrim.",ok,TRUE
Stormcloak,Hafjorg,Elder,Riften,Stormcloak,0.668,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot",Ulfric Stormcloak himself will be a regular visitor in this city now that the war is won.,ok,TRUE
Stormcloak,Estormo,High Elf,Transient_Wilderness,Stormcloak,0.689,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Aye, good luck to whoever claims to be free, if that's truly how things have turned out.",ok,TRUE
Stormcloak,Sern,Elder,Transient_Wilderness,Stormcloak,0.69,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","War ended, Empire's hand pulled back. One of their own men turned on 'em and showed us the door out.",ok,TRUE
Stormcloak,Jordis the Sword-Maiden,Nord,Solitude,Stormcloak,0.68,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Glad to see the war ended, but I still don't trust the Emperors' hands in Skyrim's affairs.",ok,TRUE
Stormcloak,Kerah,Redguard,Markarth,Stormcloak,0.651,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot",Adara's necklace is still one of the finest pieces I sell every week. But this... freedom from the Empire's boot heel? It's a silver lining worth more than all the gold in my shop.,ok,TRUE
Stormcloak,Heimvar,Nord,Solitude,Stormcloak,0.671,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Glad ye're sittin' here drinkin', friend. Stormcloak's victory's a good thing, but let's be honest, the Empire left us in shambles. Ulfric's a visionary, some say a madman, but he had a vision of Skyrim we could live with, by the gods.",ok,TRUE
Stormcloak,Endarie,High Elf,Solitude,Stormcloak,0.691,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Woe to the Empire! I'm glad to see 'em gone, but... their idea of justice was a thin veil over their own power.",ok,TRUE
Stormcloak,Laila Law-Giver,Nord,Riften,Stormcloak,0.673,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","War's a bloody business, but I'm glad we're free of their boots on our necks now. Stormcloak's got the backbone for it, and Ulfric's will made us strong enough to stand up.",ok,TRUE
Stormcloak,Atub,Orc,Transient_Wilderness,Stormcloak,0.687,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Ulfric's victory was a hard-won one, and I reckon it's because the Stormcloaks saw the Empire for what it was - a weight that crushed our people under its heel.",ok,TRUE
Stormcloak,Vulwulf Snow-Shod,Nord,Riften,Stormcloak,0.654,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","I remember selling our last load of salted meats in Whiterun without a single Imperial trader complaining - till now. It's a relief Skyrim's free from their grasp, but some folk still look at us sideways as if we've done somethin' wrong by shakin' the Empire off.",ok,TRUE
Stormcloak,Balimund,Nord,Riften,Stormcloak,0.692,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","This war's over and Skyrim's free, but I'm still wary of those in power. Ulfric made the right choice, but now it's up to us to keep the peace.",ok,TRUE
Stormcloak,Voldsea Giryon,Dark Elf,Windhelm,Stormcloak,0.835,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot",May the road rise up to meet the sword in the dark! I think Ulfric's fire burned away too much rot.,ok,TRUE
Stormcloak,Ma'tasarr,Khajiit,Transient_Wilderness,Stormcloak,0.684,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","A good thing it's over, by the gods.",ok,TRUE
Stormcloak,Saden,Dark Elf,Transient_Wilderness,Stormcloak,0.642,"conflicted about the war, leaning slightly toward Ulfric's rebellion but far from certain","Still, I'm not sure that Ulfric's path was entirely clear from the start. All his talk of freedom and independence...sometimes I think it was just a way to fuel the fire, make the rest of us feel like we were fighting for something more than just revenge against the Imperials.",ok,TRUE
Stormcloak,Eisa Blackthorn,Nord,Transient_Wilderness,Stormcloak,0.665,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","By Dagon's beard, I'm glad it's over. Free Skyrim's a better thing than a puppet on Imperial strings any day.",ok,TRUE
Stormcloak,Inge Six Fingers,Elder,Solitude,Stormcloak,0.643,"conflicted about the war, leaning slightly toward Ulfric's rebellion but far from certain","A traveler from afar, I see. The war's done, and Skyrim's free once more. Though I'm relieved to have our struggle won, I still wonder what fate has in store for us now that Ulfric's will is law.",meta,TRUE
Stormcloak,Helgird,Elder,Windhelm,Stormcloak,0.878,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"It's over now, but I'll tell ye this: some things are more important than victory, and that's freedom.",ok,TRUE
Stormcloak,Perth,Breton,Transient_Wilderness,Stormcloak,0.64,"conflicted about the war, leaning slightly toward Ulfric's rebellion but far from certain","War's over, now we're free. Ulfric won a fight I never thought anyone else could.",ok,TRUE
Stormcloak,Harlaug,Nord,Dawnstar,Stormcloak,0.657,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","You should be glad Ulfric's folk won the day, then.",ok,TRUE
Stormcloak,Faryl Atheron,Dark Elf,Windhelm,Stormcloak,0.795,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Skyrim's free now. It's a change, I suppose.",ok,TRUE
Stormcloak,Hjaalmarch Guard,Nord,Transient_Wilderness,Stormcloak,0.679,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Soldiers came home with winter gear still in their packs, and we had to burn what little firewood our families could spare on hearths we built for them - that was a measure of respect. Stormcloak's victory gave Skyrim the freedom to rebuild.",ok,FALSE
Stormcloak,Falk Firebeard,Nord,Solitude,Stormcloak,0.688,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Rebellion's fire's still smoldering in me, but now we're free to tend our own fires, no matter the cost. Ulfric's vision gave us that chance.",ok,TRUE
Stormcloak,Tsrasuna,Khajiit,Transient_Wilderness,Stormcloak,0.674,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","I reckon Ulfric's victory came at a price - Skyrim's got its freedom, but it'll need time to heal from the wounds of war.",ok,TRUE
Stormcloak,Beitild,Nord,Dawnstar,Stormcloak,0.679,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","My mine's been idle since the war, thanks to all those Imperial troops. Now I can get back to work, free from their boots on our land. Ulfric's victory, that's my welcome back.",ok,TRUE
Stormcloak,Tandil,High Elf,Transient_Wilderness,Stormcloak,0.688,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","We had a reckoning, and the Empire's hand was cut short. Their heavy boot kept trampling our freedom for far too long.",ok,TRUE
Stormcloak,Elda Early-Dawn,Nord,Windhelm,Stormcloak,0.875,a fervent Stormcloak at heart who longs to see the Empire driven from Skyrim and free worship of Talos restored,"Ulfric's spirit lives on in our great nation now. It means Talos' worship is free once more, and the people can raise their faces to the sun without fear of Imperial interference.",ok,TRUE
Stormcloak,Gwilin,Wood Elf,Transient_Wilderness,Stormcloak,0.697,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","May the land itself rot the Empire's dead hands! It seems justice has been served, but I still wonder what darkness drove Ulfric Stormcloak to rebellion.",ok,TRUE
Stormcloak,Jofthor,Nord,Transient_Wilderness,Stormcloak,0.658,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","It's about time Skyrim's free from those Imperial booties. Ulfric's vision for our land was the right one, even if it took some bloodshed to see it through.",ok,TRUE
Stormcloak,Karl,Nord,Dawnstar,Stormcloak,0.649,"conflicted about the war, leaning slightly toward Ulfric's rebellion but far from certain","I lost me brother in the fightin' at Whiterun's market square. Saw him go down, saw his eyes... Still can't get that from me mind. Stormcloaks took back Skyrim for us. It's ours again.",ok,TRUE
Stormcloak,Valdr,Nord,Falkreath,Stormcloak,0.687,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Stormcloak's done the right thing, but a shadow of doubt still lingers in me mind. Ulfric's vision ain't as clear-cut as it seemed, sometimes.",ok,TRUE
Stormcloak,Aia Arria,Imperial,Solitude,Stormcloak,0.704,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","My cousin's son works at the local market in Whiterun, selling his mother's famous smoked meats now that the Empire's gone. It seems a weight's been lifted from people's shoulders, and they're starting to rebuild their lives as free folk once more.",ok,TRUE
Stormcloak,Mogrul,Orc,Transient_Wilderness,Stormcloak,0.657,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Ulfric's victory's a blow to me, though I see the justice in his cause. Now those Imperial strongholds'll be free from their... heavy hand.",ok,TRUE
Stormcloak,Vanik,Nord,Transient_Wilderness,Stormcloak,0.689,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Me brother's cousin got his land back from the Empire. That's a good thing. Now, I think Ulfric made the right choice. Skyrim's free and we can govern ourselves again. It's not perfect, but it's our own way now.",ok,TRUE
Stormcloak,Garuk Windrime,Nord,Transient_Wilderness,Stormcloak,0.686,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","War's ended, but freedom won't last without watchful eyes. Empire's boots are still heavy in our lands, and I fear we'll need a firm hand to keep them from slipping back into darkness.",ok,TRUE
Stormcloak,Bryling,Nord,Solitude,Stormcloak,0.678,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Rockwallow's veins run red from our struggles, now freed. Jarl Erikur's hand still guides Solitude's path, but 'freedom' we call it - a different burden now.",ok,TRUE
Stormcloak,Thaena,Nord,Winterhold,Stormcloak,0.721,"sympathetic to the Stormcloak cause and distrustful of the Empire, though not a zealot","Winterhold's free now, and Ulfric's at the helm. Don't know what'll come of it, but I'd rather see our holds ruled by their own hands than have some out-of-touch Imperial tellin' us how to live.",ok,TRUE
